,County,2009 Median Price,2010 Median Price,2013 Median Price,2012 Median Price
0,2166,74200.0,79400.0,81400.0,74300.0
1,1694,146580.0,143443.0,131788.0,143796.0
2,1203,180900.0,166100.0,189800.0,164100.0
3,2200,80300.0,71300.0,67300.0,67300.0
4,108,170800.0,165000.0,194800.0,177500.0
5,2446,164500.0,146700.0,158400.0,145400.0
6,1452,89000.0,90400.0,93200.0,92300.0
7,2024,100500.0,99900.0,100200.0,100100.0
8,1711,85100.0,86400.0,85900.0,87200.0
9,808,60600.0,67100.0,63100.0,66000.0
10,370,191700.0,182600.0,166500.0,174500.0
11,2254,125600.0,121600.0,118200.0,113300.0
12,910,109700.0,89089.0,85646.0,82229.0
13,730,205000.0,201100.0,210000.0,199900.0
14,259,88100.0,87300.0,82800.0,81300.0
15,1918,187200.0,177200.0,143300.0,150300.0
16,1241,155500.0,139300.0,126600.0,121100.0
17,1292,114800.0,116900.0,118900.0,117500.0
18,16,447200.0,432700.0,568100.0,454700.0
19,991,116700.0,111300.0,125100.0,117000.0
20,149,199600.0,193500.0,195500.0,192600.0
21,1652,197200.0,194800.0,213000.0,198300.0
22,376,282700.0,266900.0,268900.0,257800.0
23,1960,68379.0,62575.0,71870.0,66842.0
24,2175,115500.0,87400.0,76700.0,95500.0
25,721,131000.0,123900.0,121300.0,124000.0
26,290,414500.0,419100.0,457200.0,434000.0
27,1131,41900.0,26800.0,29600.0,27700.0
28,1005,96000.0,93400.0,92700.0,91400.0
29,1343,112500.0,107100.0,120800.0,110200.0
30,456,92700.0,86500.0,76800.0,77100.0
31,604,59300.0,59100.0,60100.0,63500.0
32,2093,82579.0,84304.0,79387.0,76249.0
33,23,110400.0,108600.0,111500.0,107500.0
34,1205,104500.0,102400.0,103900.0,102900.0
35,2315,62200.0,61000.0,62400.0,61900.0
36,355,81600.0,81900.0,79500.0,77200.0
37,1732,67400.0,65500.0,62500.0,61400.0
38,1154,264800.0,224300.0,219200.0,214900.0
39,710,213300.0,188400.0,205100.0,191000.0
40,777,135500.0,140600.0,134400.0,134500.0
41,1221,306300.0,306400.0,322300.0,312400.0
42,2139,65700.0,61700.0,50300.0,61100.0
43,1846,122300.0,121600.0,117900.0,119200.0
44,223,116900.0,114100.0,116200.0,109800.0
45,455,110100.0,109700.0,108400.0,107600.0
46,1485,76500.0,76000.0,79000.0,76000.0
47,2843,117500.0,113100.0,109500.0,111200.0
48,348,119000.0,124700.0,131700.0,126600.0
