FULL1_NAME,County
"Abbeville County, South Carolina",1795
"Acadia County, Louisiana",2166
"Accomack County, Virginia",1694
"Ada County, Idaho",1203
"Adair County, Iowa",2546
"Adair County, Kentucky",2075
"Adair County, Missouri",2200
"Adair County, Oklahoma",879
"Adams County, Colorado",108
"Adams County, Iowa",2796
"Adams County, Idaho",2446
"Adams County, Illinois",1452
"Adams County, Indiana",2024
"Adams County, Mississippi",1711
"Adams County, North Dakota",2715
"Adams County, Nebraska",784
"Adams County, Ohio",808
"Adams County, Pennsylvania",370
"Adams County, Washington",2254
"Adams County, Wisconsin",910
"Addison County, Vermont",730
"Aguadilla County, Puerto Rico",2158
"Aiken County, South Carolina",259
"Aitkin County, Minnesota",1918
"Alachua County, Florida",1241
"Alamance County, North Carolina",1292
"Alameda County, California",16
"Alamosa County, Colorado",991
"Albany County, New York",149
"Albany County, Wyoming",1652
"Albemarle County, Virginia",376
"Alcona County, Michigan",1960
"Alcorn County, Mississippi",2175
"Alexander County, Illinois",2761
"Alexander County, North Carolina",721
"Alexandria City County, Virginia",290
"Alfalfa County, Oklahoma",1131
"Alger County, Michigan",2134
"Allamakee County, Iowa",1005
"Allegan County, Michigan",1343
"Allegany County, Maryland",456
"Allegany County, New York",604
"Alleghany County, North Carolina",1053
"Alleghany County, Virginia",2093
"Allegheny County, Pennsylvania",23
"Allen County, Indiana",1205
"Allen County, Kansas",2315
"Allen County, Kentucky",1866
"Allen County, Louisiana",3086
"Allen County, Ohio",355
"Allendale County, South Carolina",2744
"Alpena County, Michigan",1732
"Alpine County, California",1154
"Amador County, California",710
"Amelia County, Virginia",2114
"Amherst County, Virginia",777
"Amite County, Mississippi",2858
"Anchorage County, Alaska",1221
"Anderson County, Kansas",2139
"Anderson County, Kentucky",1846
"Anderson County, South Carolina",223
"Anderson County, Tennessee",455
"Anderson County, Texas",1485
"Andrew County, Missouri",2843
"Andrews County, Texas",2291
"Androscoggin County, Maine",348
"Angelina County, Texas",1390
"Anne Arundel County, Maryland",83
"Anoka County, Minnesota",139
"Anson County, North Carolina",825
"Antelope County, Nebraska",2612
"Antrim County, Michigan",1818
"Apache County, Arizona",468
"Appanoose County, Iowa",1035
"Appling County, Georgia",2567
"Appomattox County, Virginia",2288
"Aransas County, Texas",1824
"Arapahoe County, Colorado",78
"Archer County, Texas",2375
"Archuleta County, Colorado",1044
"Arecibo County, Puerto Rico",2151
"Arenac County, Michigan",1920
"Arkansas County, Arkansas",934
"Arlington County, Virginia",202
"Armstrong County, Pennsylvania",477
"Armstrong County, Texas",3051
"Aroostook County, Maine",1433
"Arthur County, Nebraska",2838
"Ascension County, Louisiana",1355
"Ashe County, North Carolina",821
"Ashland County, Ohio",1512
"Ashland County, Wisconsin",976
"Ashley County, Arkansas",893
"Ashtabula County, Ohio",368
"Asotin County, Washington",1842
"Assumption County, Louisiana",2695
"Atascosa County, Texas",1569
"Atchison County, Kansas",2269
"Athens County, Ohio",498
"Atkinson County, Georgia",2757
"Atlantic County, New Jersey",163
"Atoka County, Oklahoma",1010
"Attala County, Mississippi",2247
"Audrain County, Missouri",1792
"Audubon County, Iowa",2778
"Auglaize County, Ohio",630
"Augusta County, Virginia",461
"Aurora County, South Dakota",3020
"Austin County, Texas",1749
"Autauga County, Alabama",1505
"Avery County, North Carolina",1893
"Avoyelles County, Louisiana",2172
"Baca County, Colorado",2799
"Bacon County, Georgia",2739
"Bailey County, Texas",2897
"Baker County, Florida",1766
"Baker County, Georgia",2800
"Baker County, Oregon",977
"Baldwin County, Alabama",228
"Baldwin County, Georgia",1562
"Ballard County, Kentucky",2760
"Baltimore City County, Maryland",73
