,County,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
0,2166,74200,79400,74100,74300,81400,84200,87000,89100,5200,-5300,200,7100,2800,2800,2100,7.008086253,-6.675062972,0.269905533,9.555854643,3.43980344,3.325415677,2.413793103
1,1694,146580,143443,141887,143796,131788,139045,139419,145444,-3137,-1556,1909,-12008,7257,374,6025,-2.140128258,-1.084751434,1.345436862,-8.350719074,5.50657116,0.268977669,4.321505677
2,1203,180900,166100,154400,164100,189800,197600,212100,236500,-14800,-11700,9700,25700,7800,14500,24400,-8.181315644,-7.043949428,6.28238342,15.66118221,4.109589041,7.33805668,11.50400754
3,2200,80300,71300,68300,67300,67300,71300,76700,82100,-9000,-3000,-1000,0,4000,5400,5400,-11.20797011,-4.207573633,-1.464128843,0,5.943536404,7.573632539,7.04041721
4,108,170800,165000,164000,177500,194800,221900,257400,289100,-5800,-1000,13500,17300,27100,35500,31700,-3.395784543,-0.606060606,8.231707317,9.746478873,13.91170431,15.99819739,12.31546232
5,2446,164500,146700,141800,145400,158400,167000,178600,216900,-17800,-4900,3600,13000,8600,11600,38300,-10.82066869,-3.340149966,2.538787024,8.94085282,5.429292929,6.946107784,21.44456887
6,1452,89000,90400,90700,92300,93200,95800,98900,100200,1400,300,1600,900,2600,3100,1300,1.573033708,0.331858407,1.764057332,0.975081257,2.789699571,3.235908142,1.31445905
7,2024,100500,99900,99900,100100,100200,104000,107100,112500,-600,0,200,100,3800,3100,5400,-0.597014925,0,0.2002002,0.0999001,3.79241517,2.980769231,5.042016807
8,1711,85100,86400,84900,87200,85900,88900,92000,117900,1300,-1500,2300,-1300,3000,3100,25900,1.527614571,-1.736111111,2.709069494,-1.490825688,3.492433062,3.487064117,28.15217391
9,808,60600,67100,72100,66000,63100,65700,72200,71800,6500,5000,-6100,-2900,2600,6500,-400,10.72607261,7.451564829,-8.460471567,-4.393939394,4.12044374,9.893455099,-0.55401662
10,370,191700,182600,173700,174500,166500,181100,172100,189400,-9100,-8900,800,-8000,14600,-9000,17300,-4.747000522,-4.874041621,0.460564191,-4.584527221,8.768768769,-4.969630039,10.05229518
11,2254,125600,121600,112600,113300,118200,123600,133100,141300,-4000,-9000,700,4900,5400,9500,8200,-3.184713376,-7.401315789,0.621669627,4.324801412,4.568527919,7.686084142,6.160781367
12,910,109700,89089,88691,82229,85646,90825,96864,104641,-20611,-398,-6462,3417,5179,6039,7777,-18.78851413,-0.446744267,-7.285970392,4.155468265,6.046984097,6.649050372,8.028782623
13,730,205000,201100,199900,199900,210000,211100,215500,219200,-3900,-1200,0,10100,1100,4400,3700,-1.902439024,-0.596718051,0,5.052526263,0.523809524,2.084320227,1.716937355
14,259,88100,87300,81400,81300,82800,80900,82300,97300,-800,-5900,-100,1500,-1900,1400,15000,-0.908059024,-6.758304696,-0.122850123,1.84501845,-2.29468599,1.73053152,18.22600243
15,1918,187200,177200,180700,150300,143300,151200,154700,154700,-10000,3500,-30400,-7000,7900,3500,0,-5.341880342,1.9751693,-16.82346431,-4.657351963,5.512909979,2.314814815,0
16,1241,155500,139300,125500,121100,126600,131100,138400,156300,-16200,-13800,-4400,5500,4500,7300,17900,-10.41800643,-9.906676238,-3.505976096,4.541701073,3.55450237,5.568268497,12.93352601
17,1292,114800,116900,114400,117500,118900,117300,121400,129000,2100,-2500,3100,1400,-1600,4100,7600,1.829268293,-2.138579983,2.70979021,1.191489362,-1.345668629,3.495311168,6.26029654
