,County,2009IN,2009NET,2009POP1YR,state,county,2010IN,2010NET,2010POP1YR,2011IN,2011NET,2011POP1YR,2012IN,2012NET,2012POP1YR,2013IN,2013NET,2013POP1YR,2014IN,2014NET,2014POP1YR,2015IN,2015NET,2015POP1YR,County Code,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
0,"Accomack County, Virginia",431.0,-623.0,721525,969,19,0.0,0.0,0.0,383.0,-591.0,634828,323,-700.0,630705,276,-738.0,628444,281,-521.0,625556,231,-527.0,623618,1694,146580.0,143443.0,141887.0,143796.0,131788.0,139045,139419,145444.0,-3137.0,-1556.0,1909.0,-12008.0,7257.0,374,6025.0,-2.1401282580000003,-1.084751434,1.345436862,-8.350719074,5.50657116,0.268977669,4.321505677
1,"Ada County, Idaho",53433.0,8094.0,145223600,6400,400,25963.0,3388.0,73562720.0,45701.0,2648.0,153087600,47978,3231.0,155831200,46956,-461.0,158680000,46613,1143.0,161843600,47352,1763.0,165118400,1203,180900.0,166100.0,154400.0,164100.0,189800.0,197600,212100,236500.0,-14800.0,-11700.0,9700.0,25700.0,7800.0,14500,24400.0,-8.181315644,-7.0439494279999995,6.28238342,15.66118221,4.109589041,7.33805668,11.50400754
2,"Adair County, Missouri",4792.0,1223.0,2643300,3132,108,2245.0,547.0,1321661.0,5211.0,1607.0,2708964,4776,549.0,2723328,4723,409.0,2723220,4720,119.0,2742660,4760,-236.0,2735640,2200,80300.0,71300.0,68300.0,67300.0,67300.0,71300,76700,82100.0,-9000.0,-3000.0,-1000.0,0.0,4000.0,5400,5400.0,-11.20797011,-4.207573633,-1.4641288430000001,0.0,5.943536404,7.573632539,7.04041721
3,"Adams County, Colorado",72717.0,10843.0,140486885,2728,341,36404.0,4927.0,69792974.0,73761.0,6013.0,145609387,74819,5255.0,148591432,73132,6117.0,151675436,71823,4081.0,154974611,70524,4032.0,158317093,108,170800.0,165000.0,164000.0,177500.0,194800.0,221900,257400,289100.0,-5800.0,-1000.0,13500.0,17300.0,27100.0,35500,31700.0,-3.395784543,-0.606060606,8.231707317,9.746478873,13.91170431,15.99819739,12.31546232
4,"Adams County, Idaho",380.0,-194.0,48692,224,42,192.0,-8.0,27321.0,474.0,246.0,55356,542,232.0,55272,444,246.0,54670,324,48.0,54180,396,-62.0,53774,2446,164500.0,146700.0,141800.0,145400.0,158400.0,167000,178600,216900.0,-17800.0,-4900.0,3600.0,13000.0,8600.0,11600,38300.0,-10.82066869,-3.3401499660000002,2.538787024,8.94085282,5.429292929,6.946107784,21.44456887
5,"Adams County, Illinois",3830.0,-108.0,6557364,1683,99,1622.0,-392.0,3249582.0,3154.0,-703.0,6562809,3014,-717.0,6565086,2860,-1471.0,6559542,2586,-2046.0,6545385,1938,-2944.0,6546870,1452,89000.0,90400.0,90700.0,92300.0,93200.0,95800,98900,100200.0,1400.0,300.0,1600.0,900.0,2600.0,3100,1300.0,1.573033708,0.33185840699999997,1.764057332,0.975081257,2.7896995710000003,3.235908142,1.31445905
6,"Adams County, Indiana",1221.0,-754.0,1099824,594,33,552.0,-449.0,535872.0,1097.0,-864.0,1108866,979,-652.0,1112364,863,-648.0,1115301,863,-1054.0,1117314,883,-570.0,1120251,2024,100500.0,99900.0,99900.0,100100.0,100200.0,104000,107100,112500.0,-600.0,0.0,200.0,100.0,3800.0,3100,5400.0,-0.597014925,0.0,0.20020020000000002,0.0999001,3.79241517,2.980769231,5.0420168069999995
7,"Adams County, Mississippi",1592.0,-514.0,1493232,1344,48,605.0,-500.0,776616.0,866.0,-858.0,1542768,980,-1024.0,1540944,1206,-1026.0,1536000,966,-1478.0,1526112,1108,-1466.0,1518576,1711,85100.0,86400.0,84900.0,87200.0,85900.0,88900,92000,117900.0,1300.0,-1500.0,2300.0,-1300.0,3000.0,3100,25900.0,1.527614571,-1.736111111,2.709069494,-1.4908256880000001,3.492433062,3.487064117,28.15217391
8,"Adams County, North Dakota",286.0,-22.0,41130,684,18,143.0,-39.0,21042.0,226.0,-50.0,41958,228,-44.0,41742,214,-318.0,41634,182,-446.0,41814,148,-398.0,41868,2715,,,82900.0,82800.0,82800.0,82800,82800,86300.0,,,-100.0,0.0,0.0,0,3500.0,,,-0.120627262,0.0,0.0,0.0,4.22705314
9,"Adams County, Ohio",1566.0,-702.0,1052410,1482,38,688.0,-286.0,534755.0,1464.0,-370.0,1069700,1302,-718.0,1070954,1262,-906.0,1068902,1018,-1176.0,1068218,1118,-934.0,1063658,808,60600.0,67100.0,72100.0,66000.0,63100.0,65700,72200,71800.0,6500.0,5000.0,-6100.0,-2900.0,2600.0,6500,-400.0,10.72607261,7.451564829,-8.460471567,-4.393939393999999,4.12044374,9.893455099,-0.55401662
10,"Adams County, Washington",1208.0,-728.0,627494,2014,38,628.0,-241.0,331550.0,896.0,-770.0,678224,1098,-708.0,688750,1118,-834.0,699960,1234,-1040.0,705660,1054,-2008.0,711626,2254,125600.0,121600.0,112600.0,113300.0,118200.0,123600,133100,141300.0,-4000.0,-9000.0,700.0,4900.0,5400.0,9500,8200.0,-3.1847133760000004,-7.401315789,0.6216696270000001,4.324801412,4.568527919,7.686084142,6.160781367
11,"Adams County, Wisconsin",1934.0,170.0,1334454,3630,66,991.0,55.0,687456.0,2344.0,360.0,1372206,2118,-306.0,1368312,2256,-144.0,1359732,2190,-610.0,1351680,1924,-614.0,1342506,910,109700.0,89089.0,88691.0,82229.0,85646.0,90825,96864,104641.0,-20611.0,-398.0,-6462.0,3417.0,5179.0,6039,7777.0,-18.78851413,-0.44674426700000003,-7.285970392,4.155468265,6.046984097,6.6490503720000005,8.028782623
12,"Addison County, Vermont",3660.0,-554.0,5383648,7400,148,1936.0,-146.0,2668223.0,4618.0,-13.0,5405404,4522,444.0,5402296,4439,509.0,5406736,4535,407.0,5415616,4511,427.0,5421832,730,205000.0,201100.0,199900.0,199900.0,210000.0,211100,215500,219200.0,-3900.0,-1200.0,0.0,10100.0,1100.0,4400,3700.0,-1.902439024,-0.596718051,0.0,5.052526263,0.523809524,2.084320227,1.716937355
13,"Aiken County, South Carolina",9555.0,-1473.0,24441426,7290,486,4901.0,-1061.0,12087660.0,9714.0,-1611.0,25365636,9869,-2816.0,25642656,9788,-2521.0,25888572,11251,-1539.0,26075682,10554,-1195.0,26211114,259,88100.0,87300.0,81400.0,81300.0,82800.0,80900,82300,97300.0,-800.0,-5900.0,-100.0,1500.0,-1900.0,1400,15000.0,-0.908059024,-6.758304696000001,-0.122850123,1.84501845,-2.29468599,1.73053152,18.22600243
14,"Aitkin County, Minnesota",983.0,-798.0,881608,1512,56,548.0,-152.0,438210.0,1203.0,-19.0,906584,1265,325.0,898408,1207,161.0,888944,1168,-11.0,885640,1069,-105.0,878472,1918,187200.0,177200.0,180700.0,150300.0,143300.0,151200,154700,154700.0,-10000.0,3500.0,-30400.0,-7000.0,7900.0,3500,0.0,-5.341880342,1.9751693,-16.82346431,-4.657351963,5.512909979,2.314814815,0.0
15,"Alameda County, California",191112.0,-9506.0,1026152946,4284,714,94970.0,-6323.0,519927320.0,181632.0,-7763.0,1054910010,184785,-3285.0,1069174302,186710,-3742.0,1083779172,193789,-4144.0,1100522472,200348,-2340.0,1118186118,16,447200.0,432700.0,401600.0,454700.0,568100.0,625800,706500,749500.0,-14500.0,-31100.0,53100.0,113400.0,57700.0,80700,43000.0,-3.2423971380000003,-7.187427779,13.22211155,24.93952056,10.15666256,12.89549377,6.086341117999999
16,"Alamosa County, Colorado",2958.0,701.0,767550,408,153,991.0,-205.0,375625.0,1721.0,-402.0,771885,2077,-424.0,792693,2760,-51.0,800547,2478,-136.0,811614,2698,412.0,820029,991,116700.0,111300.0,111000.0,117000.0,125100.0,130400,138600,152700.0,-5400.0,-300.0,6000.0,8100.0,5300.0,8200,14100.0,-4.627249357,-0.269541779,5.405405405,6.923076922999999,4.236610711,6.288343557999999,10.17316017
17,"Albany County, New York",41278.0,4745.0,93033675,11340,315,20642.0,1833.0,46642755.0,38957.0,3953.0,94792950,37043,1067.0,95000220,38329,1704.0,95227020,38959,1704.0,95494770,38780,2319.0,95853870,149,199600.0,193500.0,192700.0,192600.0,195500.0,197200,199600,205800.0,-6100.0,-800.0,-100.0,2900.0,1700.0,2400,6200.0,-3.0561122239999996,-0.41343669299999997,-0.051894135999999993,1.505711319,0.869565217,1.21703854,3.106212425
18,"Albany County, Wyoming",7384.0,310.0,4960064,8512,152,3661.0,446.0,2560474.0,8382.0,1699.0,5352224,8762,2633.0,5451936,8420,2778.0,5530368,8466,1487.0,5605912,8449,1232.0,5661696,1652,197200.0,194800.0,194100.0,198300.0,213000.0,210600,215500,215500.0,-2400.0,-700.0,4200.0,14700.0,-2400.0,4900,0.0,-1.21703854,-0.359342916,2.163833076,7.41301059,-1.126760563,2.32668566,0.0
19,"Albemarle County, Virginia",10782.0,-310.0,13864518,7701,453,0.0,0.0,0.0,10137.0,-1105.0,14649567,10141,-136.0,14855229,9840,-28.0,15040808,9936,-159.0,15214307,9626,-150.0,15396111,376,282700.0,266900.0,262100.0,257800.0,268900.0,273500,280400,291800.0,-15800.0,-4800.0,-4300.0,11100.0,4600.0,6900,11400.0,-5.588963566,-1.798426377,-1.6405951930000002,4.305663305,1.7106731130000001,2.52285192,4.065620542
20,"Alcona County, Michigan",940.0,-115.0,338790,780,30,394.0,-325.0,156576.0,696.0,-663.0,331410,660,-745.0,326670,740,-752.0,322140,668,-930.0,318360,767,-557.0,315000,1960,68379.0,62575.0,59822.0,66842.0,71870.0,72091,74529,77218.0,-5804.0,-2753.0,7020.0,5028.0,221.0,2438,2689.0,-8.487986077999999,-4.399520575,11.73481328,7.52221657,0.307499652,3.381836845,3.60799152
21,"Alcorn County, Mississippi",2454.0,100.0,1477728,1176,126,1349.0,84.0,727040.0,2425.0,-361.0,1537368,2196,476.0,1538796,2473,847.0,1545012,2514,584.0,1549506,2061,288.0,1551690,2175,115500.0,87400.0,91600.0,95500.0,76700.0,78700,80800,86400.0,-28100.0,4200.0,3900.0,-18800.0,2000.0,2100,5600.0,-24.32900433,4.805491991,4.257641921,-19.68586387,2.60756193,2.6683608640000003,6.930693069
22,"Alfalfa County, Oklahoma",1016.0,582.0,192605,1400,105,354.0,71.0,94282.0,862.0,290.0,194495,792,88.0,193970,800,69.0,195930,842,42.0,197400,780,203.0,200060,1131,41900.0,26800.0,25900.0,27700.0,29600.0,32700,35500,45900.0,-15100.0,-900.0,1800.0,1900.0,3100.0,2800,10400.0,-36.03818616,-3.358208955,6.94980695,6.8592057760000005,10.47297297,8.562691131000001,29.29577465
23,"Alger County, Michigan",847.0,-338.0,377480,1040,120,632.0,96.0,180956.0,1196.0,115.0,380120,1174,186.0,379120,1501,440.0,379000,1514,528.0,379520,1321,181.0,377720,2134,,,103200.0,105100.0,104600.0,103700,110200,141000.0,,,1900.0,-500.0,-900.0,6500,30800.0,,,1.8410852709999999,-0.47573739299999995,-0.86042065,6.268081003,27.949183299999998
24,"Allamakee County, Iowa",898.0,-44.0,573440,760,200,467.0,-43.0,284340.0,1052.0,-236.0,566120,998,-18.0,563720,1086,376.0,562160,760,98.0,558240,864,246.0,555520,1005,96000.0,93400.0,89400.0,91400.0,92700.0,95800,104000,112400.0,-2600.0,-4000.0,2000.0,1300.0,3100.0,8200,8400.0,-2.708333333,-4.282655246,2.237136465,1.422319475,3.34412082,8.559498956,8.076923077
25,"Allegan County, Michigan",9026.0,-490.0,9116186,2132,410,4537.0,-422.0,4499012.0,9598.0,-726.0,9019016,9606,-1166.0,9030414,10440,-1110.0,9042714,10676,-506.0,9099130,9776,-32.0,9154070,1343,112500.0,107100.0,105000.0,110200.0,120800.0,127800,136100,147700.0,-5400.0,-2100.0,5200.0,10600.0,7000.0,8300,11600.0,-4.8,-1.960784314,4.9523809519999995,9.618874773,5.794701987000001,6.494522692,8.523144747
26,"Allegany County, Maryland",9124.0,3757.0,7849090,2616,109,4345.0,1649.0,4001346.0,7480.0,2422.0,8077009,7488,2021.0,8068943,6266,393.0,8040167,6110,171.0,7991117,5980,54.0,7946754,456,92700.0,86500.0,82200.0,77100.0,76800.0,82500,82500,83500.0,-6200.0,-4300.0,-5100.0,-300.0,5700.0,0,1000.0,-6.68824164,-4.971098266,-6.204379562000001,-0.38910505799999995,7.421875,0.0,1.212121212
27,"Allegany County, New York",5200.0,2370.0,5623500,4140,345,2417.0,993.0,2771511.0,5595.0,2421.0,5577730,5130,948.0,5557950,5102,591.0,5536675,5245,1049.0,5515285,5121,699.0,5481590,604,59300.0,59100.0,60000.0,63500.0,60100.0,59800,62100,64500.0,-200.0,900.0,3500.0,-3400.0,-300.0,2300,2400.0,-0.33726812799999994,1.52284264,5.833333333,-5.354330709,-0.49916805299999994,3.8461538460000004,3.8647343000000003
28,"Alleghany County, Virginia",467.0,-703.0,211432,663,65,0.0,0.0,0.0,588.0,-704.0,210223,613,-835.0,210704,598,-622.0,209885,427,-511.0,207636,444,-500.0,206674,2093,82579.0,84304.0,79599.0,76249.0,79387.0,81631,81158,83307.0,1725.0,-4705.0,-3350.0,3138.0,2244.0,-473,2149.0,2.0889088019999997,-5.580992598,-4.208595585,4.1154638089999995,2.826659277,-0.579436734,2.6479213390000003
29,"Allen County, Indiana",20896.0,-6730.0,107674368,5652,942,9633.0,-5438.0,52905717.0,19360.0,-7692.0,109363374,19338,-7300.0,110136128,19174,-8089.0,110977334,18235,-7896.0,111737528,18968,-4133.0,112506514,1205,104500.0,102400.0,101900.0,102900.0,103900.0,103800,106900,115900.0,-2100.0,-500.0,1000.0,1000.0,-100.0,3100,9000.0,-2.009569378,-0.48828125,0.9813542690000001,0.9718172979999999,-0.096246391,2.9865125239999997,8.419083255
30,"Allen County, Kansas",1344.0,-676.0,503994,760,38,776.0,47.0,253479.0,1328.0,-650.0,504298,1114,-1872.0,504298,940,-2142.0,499966,1158,-1134.0,494836,666,-1630.0,488946,2315,62200.0,61000.0,60400.0,61900.0,62400.0,64500,65900,69000.0,-1200.0,-600.0,1500.0,500.0,2100.0,1400,3100.0,-1.92926045,-0.983606557,2.483443709,0.807754443,3.365384615,2.170542636,4.704097117
31,"Allen County, Ohio",7096.0,-1690.0,13777204,5187,399,3154.0,-882.0,6843850.0,6073.0,-2388.0,13979763,7133,-823.0,13925366,7359,-972.0,13927760,7652,-563.0,13873230,8292,566.0,13819232,355,81600.0,81900.0,78200.0,77200.0,79500.0,80200,84700,86300.0,300.0,-3700.0,-1000.0,2300.0,700.0,4500,1600.0,0.367647059,-4.517704518,-1.278772379,2.979274611,0.880503145,5.610972568999999,1.889020071
32,"Alpena County, Michigan",1692.0,294.0,1795901,1586,427,888.0,200.0,889530.0,1471.0,437.0,1798219,1487,495.0,1786873,1267,235.0,1775466,1355,289.0,1763693,1485,165.0,1757227,1732,67400.0,65500.0,57100.0,61400.0,62500.0,64200,69100,72600.0,-1900.0,-8400.0,4300.0,1100.0,1700.0,4900,3500.0,-2.818991098,-12.82442748,7.530647986,1.791530945,2.72,7.632398754,5.06512301
33,"Alpine County, California",138.0,-42.0,4564,24,12,60.0,-35.0,2316.0,104.0,-390.0,4616,312,4.0,4788,228,16.0,4660,210,-76.0,4808,210,44.0,4524,1154,264800.0,224300.0,207600.0,214900.0,219200.0,207500,224000,280200.0,-40500.0,-16700.0,7300.0,4300.0,-11700.0,16500,56200.0,-15.29456193,-7.445385644,3.516377649,2.000930665,-5.337591241,7.951807229,25.08928571
