,County,Value_measure_1,Value_measure_2,Difference
0,2166,75900.0,86100.0,10200.0
1,1694,150831.0,142920.0,-7911.0
2,1203,191200.0,204300.0,13100.0
3,2200,84200.0,73000.0,-11200.0
4,108,167600.0,241000.0,73400.0
5,2446,171800.0,173100.0,1300.0
6,1452,88200.0,97100.0,8900.0
7,2024,101000.0,105800.0,4800.0
8,1711,86100.0,91700.0,5600.0
9,808,65200.0,69400.0,4200.0
10,370,196700.0,180900.0,-15800.0
11,2254,125200.0,128500.0,3300.0
12,910,125700.0,94519.0,-31181.0
13,730,205600.0,212000.0,6400.0
14,259,87800.0,79500.0,-8300.0
15,1918,175500.0,155000.0,-20500.0
16,1241,160800.0,133800.0,-27000.0
17,1292,120300.0,121300.0,1000.0
18,16,447400.0,672900.0,225500.0
19,991,117300.0,133600.0,16300.0
20,149,198300.0,198000.0,-300.0
21,1652,201700.0,212600.0,10900.0
22,376,286500.0,275600.0,-10900.0
23,1960,72235.0,73600.0,1365.0
24,2175,109800.0,80400.0,-29400.0
25,721,132900.0,124800.0,-8100.0
26,290,392200.0,491900.0,99700.0
27,1131,37900.0,33600.0,-4300.0
28,1005,93800.0,97100.0,3300.0
29,1343,119100.0,131900.0,12800.0
30,456,92400.0,80100.0,-12300.0
31,604,58300.0,61500.0,3200.0
32,2093,81727.0,80817.0,-910.0
33,23,108700.0,119400.0,10700.0
34,1205,105600.0,105600.0,0.0
35,2315,62400.0,65400.0,3000.0
36,355,83200.0,82300.0,-900.0
37,1732,64200.0,67200.0,3000.0
38,1154,352500.0,216700.0,-135800.0
39,710,220700.0,235300.0,14600.0
40,777,138100.0,140500.0,2400.0
41,1221,305200.0,333900.0,28700.0
42,2139,68100.0,53400.0,-14700.0
43,1846,123300.0,121800.0,-1500.0
44,223,118800.0,120200.0,1400.0
45,455,111000.0,116000.0,5000.0
46,1485,77600.0,85900.0,8300.0
47,2843,120500.0,129200.0,8700.0
48,348,120500.0,137600.0,17100.0
49,83,309300.0,310900.0,1600.0
50,139,180700.0,195100.0,14400.0
51,825,63300.0,56400.0,-6900.0
52,1818,109400.0,112800.0,3400.0
53,468,139300.0,125500.0,-13800.0
54,1824,155400.0,178400.0,23000.0
55,78,202300.0,277300.0,75000.0
56,2375,100600.0,118400.0,17800.0
