,County,2010 Median Rent Price,2011 Median Rent Price,2012 Median Rent Price,2013 Median Rent Price,2014 Median Rent Price,2015 Median Rent Price,2016 Median Rent Price,2011 Rent Difference,2012 Rent Difference,2013 Rent Difference,2014 Rent Difference,2015 Rent Difference,2016 Rent Difference,2011 Rent Percent Change,2012 Rent Percent Change,2013 Rent Percent Change,2014 Rent Percent Change,2015 Rent Percent Change,2016 Rent Percent Change
0,2166,1059,1154,1073,1080,1130,1207,1137,95,-81,7,50,77,-70,8.970727101,-7.019064125,0.652376514,4.62962963,6.814159292,-5.7995029
1,1694,1262,1329,1392,1348,1193,1277,1255,67,63,-44,-155,84,-22,5.309033281,4.740406321,-3.16091954,-11.49851632,7.041072925,-1.722787784
2,2546,997,936,864,860,981,985,938,-61,-72,-4,121,4,-47,-6.118355065,-7.692307692,-0.462962963,14.06976744,0.407747197,-4.771573604
3,108,1214,1289,1348,1461,1588,1714,1790,75,59,113,127,126,76,6.177924217,4.577191621,8.382789318,8.692676249,7.934508816,4.434072345
4,2796,929,864,835,825,912,937,823,-65,-29,-10,87,25,-114,-6.996770721,-3.356481481,-1.19760479,10.54545455,2.74122807,-12.16648879
5,784,865,941,971,1048,1029,1117,1104,76,30,77,-19,88,-13,8.786127168,3.188097768,7.929969104,-1.812977099,8.551992225,-1.163831692
6,808,765,840,841,878,872,894,904,75,1,37,-6,22,10,9.803921569,0.119047619,4.399524376,-0.683371298,2.52293578,1.118568233
7,370,1200,1196,1166,1194,1179,1258,1244,-4,-30,28,-15,79,-14,-0.333333333,-2.508361204,2.401372213,-1.256281407,6.700593723,-1.112877583
8,2254,1045,1112,1093,1077,1122,1102,1151,67,-19,-16,45,-20,49,6.411483254,-1.708633094,-1.463860933,4.178272981,-1.782531194,4.44646098
9,259,815,945,809,848,811,831,835,130,-136,39,-37,20,4,15.95092025,-14.39153439,4.820766378,-4.363207547,2.466091245,0.481347774
10,1241,1067,1086,1107,1179,1169,1201,1250,19,21,72,-10,32,49,1.780693533,1.933701657,6.504065041,-0.848176421,2.737382378,4.079933389
11,1292,926,944,894,860,899,909,952,18,-50,-34,39,10,43,1.943844492,-5.296610169,-3.803131991,4.534883721,1.112347052,4.730473047
12,16,2106,2100,2136,2308,2596,2933,3067,-6,36,172,288,337,134,-0.284900285,1.714285714,8.052434457,12.47833622,12.98151002,4.568700989
13,149,1576,1462,1472,1476,1508,1615,1677,-114,10,4,32,107,62,-7.233502538,0.683994528,0.27173913,2.16802168,7.095490716,3.839009288
14,376,1422,1483,1499,1577,1587,1643,1702,61,16,78,10,56,59,4.289732771,1.078894134,5.203468979,0.634115409,3.528670447,3.590992088
15,290,2227,2319,2304,2406,2433,2458,2462,92,-15,102,27,25,4,4.131118096,-0.64683053,4.427083333,1.122194514,1.027538019,0.16273393
16,2134,1048,920,968,908,926,1009,1041,-128,48,-60,18,83,32,-12.21374046,5.217391304,-6.198347107,1.982378855,8.963282937,3.171456888
17,1005,969,913,990,1027,985,992,913,-56,77,37,-42,7,-79,-5.779153767,8.43373494,3.737373737,-4.089581305,0.710659898,-7.963709677
18,456,1148,1174,1188,1105,1121,1113,1100,26,14,-83,16,-8,-13,2.264808362,1.192504259,-6.986531987,1.447963801,-0.713648528,-1.168014376
19,23,1074,963,1013,1115,1153,1170,1178,-111,50,102,38,17,8,-10.33519553,5.192107996,10.06910168,3.408071749,1.474414571,0.683760684
20,1205,949,888,952,962,950,989,1060,-61,64,10,-12,39,71,-6.427818757,7.207207207,1.050420168,-1.247401247,4.105263158,7.178968655
21,3086,984,1044,937,993,1139,1142,964,60,-107,56,146,3,-178,6.097560976,-10.24904215,5.976520811,14.70292044,0.263388938,-15.58669002
22,355,804,838,847,839,871,888,913,34,9,-8,32,17,25,4.228855721,1.07398568,-0.944510035,3.814064362,1.951779564,2.815315315
23,1732,1134,943,863,871,851,895,874,-191,-80,8,-20,44,-21,-16.84303351,-8.483563097,0.926998841,-2.296211251,5.170387779,-2.346368715
24,710,1481,1235,1137,1160,1293,1394,1541,-246,-98,23,133,101,147,-16.61039838,-7.935222672,2.022867194,11.46551724,7.81129157,10.54519369
25,2114,1200,1177,1200,1272,1326,1217,1146,-23,23,72,54,-109,-71,-1.916666667,1.954120646,6,4.245283019,-8.220211161,-5.834018077
26,777,1071,1089,1076,1122,1099,1136,1140,18,-13,46,-23,37,4,1.680672269,-1.193755739,4.275092937,-2.049910873,3.366696997,0.352112676
27,1846,1009,975,934,997,998,1044,1055,-34,-41,63,1,46,11,-3.369672944,-4.205128205,6.745182013,0.100300903,4.609218437,1.053639847
28,223,965,841,907,954,979,977,992,-124,66,47,25,-2,15,-12.84974093,7.847800238,5.181918412,2.620545073,-0.204290092,1.53531218
